scope,%Plaintiff or both parties failed to appear,%Temporary order denied,%Withdrawn by plaintiff,%Dismissed on merits
Chittenden,0.575630252,0.029411765,0.138655462,0.256302521
Rutland,0.324894515,0.485232068,0.126582278,0.063291139
Franklin,0.226130653,0.261306533,0.286432161,0.226130653
Bennington,0.319277108,0.271084337,0.246987952,0.162650602
Windsor,0.216666667,0.325,0.333333333,0.125
Caledonia,0.254237288,0.042372881,0.516949153,0.186440678
Orleans,0.196428571,0.321428571,0.196428571,0.285714286
Washington,0.290909091,0.209090909,0.263636364,0.236363636
Windham,0.2,0.59047619,0.19047619,0.019047619
Addison,0.221052632,0.326315789,0.231578947,0.221052632
Lamoille,0.130434783,0.402173913,0.206521739,0.260869565
Orange,0.5,0.115384615,0.230769231,0.153846154
Essex,0.4,0.15,0.2,0.25
Grand Isle,0.1875,0.375,0.25,0.1875
Statewide,0.302297461,0.280532044,0.23458283,0.182587666